representation,horizon_frames,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std
pos,5,4.415326346973957e-05,1.2413818364573149e-05,0.006585657728945602,0.0008845200658654654,0.004437045053314087,0.00041896052976649306
pos,10,0.00011621236069937074,4.14184450496175e-05,0.010620503553974859,0.0018485845826951366,0.006622763528825548,0.0010268006587273017
pos,20,0.00046675756455265256,0.0001720123588748229,0.021191146622584832,0.004206289264038302,0.012057414750726662,0.0018449795153677225
pos,40,0.0016611185895894314,0.0009818449184882598,0.039067284565263656,0.011613176408121244,0.020232983542058623,0.00444877982603143
pos,80,0.007968363338038064,0.005229937959199893,0.08538721335039814,0.026026661989038313,0.04382618992817024,0.013180138836870811
euler,5,0.788111628727751,2.3464735542902018,0.6024290217052575,0.6520666396427572,0.18266621456509982,0.059107869067010925
euler,10,5.72201716633484,9.466641040681413,1.6734609328589916,1.7092529574435593,0.26667206399702736,0.1307999306603225
euler,20,16.46554474867416,27.007347764311064,2.722445374305873,3.008959277324091,0.36790119237915797,0.25300065158700785
euler,40,17.873033369256344,14.722953962433731,3.7932186260583465,1.8666884646829451,0.5063621293702962,0.2450216144082778
euler,80,44.70842813324585,38.71723326004611,6.11026352928665,2.7153467063922614,0.9109569858006223,0.4877838167722678
quad,5,2.6883252807055306e-05,6.748108361689933e-05,0.003947322561612199,0.003361829472421619,0.0013889927002329312,0.00019866888513628357
quad,10,1.569714614357354e-05,7.370621635289476e-06,0.0038514920817125688,0.0009290612940376545,0.0015430046686475483,0.00020168105087016886
quad,20,8.897277372109568e-05,0.00013281011555850848,0.007816436389398244,0.0052797818034069,0.00207688271689817,0.0007181047780504921
quad,40,0.0003648006146708306,0.00041007986364797685,0.0158680234728949,0.010630448990258463,0.003160912167522891,0.0016845135423517936
quad,80,0.0007847927034053128,0.0006358284672962078,0.0257688602407102,0.010989019305654971,0.004623258579611858,0.001725446245507657
